rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance Text,Distance Value,Duration Text,Duration Value,target_location
1,29552.0,76.0,Шевченківський,"Бульварно-Кудрявська вул. (Воровського), 17б",,3,Universytet,"50.4432683, 30.5046312",1.5 km,1453.0,19 mins,1153.0,"50.45244217,30.50216103"
2,11000.0,124.0,Дарницький,"Пчілки Олени вул., 2",,1,Pozniaky,"50.3978642, 30.6347451",2.3 km,2293.0,29 mins,1743.0,"50.41525269,30.62523079"
2,9000.0,108.0,Солом'янський,"Вацлава Гавела бульв. (Лепсе Івана), 49",,2,Nyvky,"50.4586495, 30.40437299999999",3.7 km,3672.0,46 mins,2762.0,"50.43924332,30.41027451"
1,9000.0,73.0,Солом'янський,"Новопольова вул., 2к1",,2,Shuliavska,"50.45422809999999, 30.44862209999999",3.4 km,3409.0,44 mins,2610.0,"50.43346786,30.44356918"
3,27705.0,180.0,Шевченківський,"Дмитрівська вул., 82",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1.0 km,996.0,12 mins,748.0,"50.45497513,30.48839378"
2,12000.0,77.0,Солом'янський,"Мартиросяна вул., 18",,2,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",3.6 km,3634.0,46 mins,2737.0,"50.43022919,30.45309067"
1,7500.0,56.0,Шевченківський,"Щусєва академіка вул., 44",,3,Syrets,"50.47676180000001, 30.4327791",0.5 km,503.0,6 mins,334.0,"50.47484207,30.43880844"
1,7000.0,55.0,Шевченківський,"Парково-Сирецька вул. (Шамрила Тимофія), 10",,3,Beresteiska,"50.4593178, 30.4186364",1.4 km,1368.0,17 mins,999.0,"50.46363449,30.43583679"
1,23000.0,78.0,Голосіївський,"Коломийський пров., 6",Васильківська,3,Vasylkivska,"50.393331, 30.488194",0.9 km,903.0,12 mins,739.0,"50.38951111,30.49407005"
3,26000.0,190.0,Голосіївський,"Казимира Малевича вул. (Боженка), 53/30",Олімпійська,3,Palats Ukraina,"50.4214131, 30.5207637",0.8 km,756.0,10 mins,585.0,"50.4245224,30.51430321"
3,15999.0,119.0,Оболонський,"Північна вул., 48а",Героїв Дніпра,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",1.4 km,1372.0,16 mins,987.0,"50.52666092,30.51239777"
1,12000.0,70.0,Голосіївський,"Самійла Кішки вул. (Конєва), 5д",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",1.1 km,1080.0,14 mins,828.0,"50.38235855,30.46267891"
1,15000.0,76.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 24а",Васильківська,3,Vasylkivska,"50.393331, 30.488194",1.1 km,1133.0,14 mins,848.0,"50.39334106,30.4744854"
1,12000.0,79.0,Голосіївський,"Юлії Здановської вул. (Ломоносова), 85а",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",1.2 km,1154.0,15 mins,886.0,"50.38321304,30.4624939"
3,20000.0,137.0,Дніпровський,"Регенераторна вул., 4/7",,1,Darnytsia,"50.455958, 30.61296999999999",3.5 km,3501.0,44 mins,2635.0,"50.43754959,30.62131691"
1,14000.0,66.0,Голосіївський,"Паньківська вул., 17",Площа Льва Толстого,3,Universytet,"50.4432683, 30.5046312",1.0 km,984.0,13 mins,772.0,"50.43931198,30.5038662"
2,13500.0,88.0,Голосіївський,"Голосіївський просп. (40-річчя Жовтня), 17",Деміївська,3,Demiivska,"50.404788, 30.516868",0.3 km,298.0,4 mins,227.0,"50.40264511,30.51627541"
1,21500.0,95.0,Печерський,"Миколи Міхновського бульв. (Дружби Народів), 14/16",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",0.9 km,944.0,13 mins,760.0,"50.4140358,30.53945923"
2,18000.0,110.0,Печерський,"Лютеранська вул., 3",,3,Khreshchatyk,"50.4473449, 30.5227597",0.1 km,111.0,1 min,88.0,"50.44652557,30.52306557"
1,9000.0,73.0,Солом'янський,"Смілянська вул., 9",,2,,,,,,,"50.42306137,30.44957733"
2,33246.0,135.0,Шевченківський,"Тургенєвська вул., 74/68",,3,Lukianivska,"50.46114710000001, 30.48363239999999",0.8 km,846.0,11 mins,636.0,"50.45495224,30.48994255"
1,13500.0,78.0,Оболонський,"Балтійський пров., 3-А",,2,Obolon,"50.5015363, 30.4982311",4.3 km,4329.0,54 mins,3233.0,"50.49888992,30.46729279"
1,36940.0,108.0,Шевченківський,"Глибочицька вул., 73-77",Контрактова площа,3,Kontraktova ploshcha,"50.4659213, 30.5150353",1.1 km,1122.0,14 mins,858.0,"50.46321487,30.50396919"
3,35581.0,136.1,Голосіївський,"Микільсько-Ботанічна вул., 11",Площа Льва Толстого,3,Universytet,"50.4432683, 30.5046312",0.9 km,865.0,12 mins,692.0,"50.43861771,30.50564766"
1,11000.0,96.0,Дніпровський,"Туманяна Ованеса вул., 15",,1,Livoberezhna,"50.451864, 30.59815699999999",1.3 km,1296.0,17 mins,997.0,"50.44396973,30.60523224"
